LENGTH,DATA,RUTA,JURISDIC,ETIQUETA_R,PROVINCIA,MATERIAL,PEAJE,CARRILES,JERARQUIA,TOPOGRAFIA,VEL_LIV,VEL_PES
124.47,"671","79",RN,RN 79,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
51.58,"595","60",RN,RN 60,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
59.18,"596","60",RN,RN 60,CATAMARCA,Pavimento,"0","1",Ruta,L,"109","79"
106.88,"686","8",RN,RN 8,CORDOBA,Pavimento,"1","1",Ruta,L,"109","79"
75.53,"374","30",RP,RP 30,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
7.78,"869","8",RN,RN 8,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
124.76,"298","23",RN,RN 23,RIO NEGRO,Pavimento,"0",,Ruta,O,"99","70"
17.26,"1073","76",RP,RP 76,RIO NEGRO,SIN DATO,"0",,Ruta,O,,
7.76,"1168","76",RP,RP 76,RIO NEGRO,SIN DATO,"0",,Ruta,O,,
39.36,"1072","76",RP,RP 76,RIO NEGRO,SIN DATO,"0",,Ruta,O,,
3.33,"1692","23",RN,RN 23,RIO NEGRO,Pavimento,"0",,Ruta,O,"99","70"
17.33,"1169","76",RP,RP 76,RIO NEGRO,SIN DATO,"0",,Ruta,O,,
7.37,"1175","13",RP,RP 13,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
4.45,"1084","13",RP,RP 13,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
14.83,"1083","13",RP,RP 13,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
0.54,"1174","13",RP,RP 13,NEUQUEN,Ripio,"0","1",Ruta,M,"28","19"
6.58,"1085","13",RP,RP 13,NEUQUEN,Ripio,"0","1",Ruta,M,"28","19"
0.78,"1173","13",RP,RP 13,NEUQUEN,Ripio,"0","1",Ruta,M,"28","19"
4.96,"1086","13",RP,RP 13,NEUQUEN,Ripio,"0","1",Ruta,M,"28","19"
25.71,"1081","13",RP,RP 13,NEUQUEN,Ripio,"0","1",Ruta,M,"28","19"
171.59,"1001","40",RN,RN 40,NEUQUEN,Pavimento,"0","1",Ruta,O,"99","70"
16.38,"1172","13",RP,RP 13,NEUQUEN,Ripio,"0","1",Ruta,M,"28","19"
